Gabriel,1,11
Luc,1,11
Maïlys,2,-18

Gabriel,1,23
Luc,3,-16
Yassine,2,1

Gabriel,3,-3
Luc,2,6
Yassine,1,18
Martin,4,-14

Gabriel,3,-2
Luc,2,6
Yassine,1,16
Martin,4,-12
Maïlys,3,-2

Gabriel,1,23
Luc,3,1
Yassine,2,6
Henri,4,-13

Gabriel,2,4
Luc,1,19
Yassine,3,2
Henri,4,-13

Gabriel,3,0
Luc,1,15
Yassine,4,-6
Martin,5,-10
Henri,2,8
Romaric,3,0

Gabriel,4,-11
Luc,3,-1
Yassine,1,12
Martin,2,9
Henri,3,-1
Romaric,3,-2

Gabriel,1,16
Luc,3,-4
Yassine,4,-15
Martin,2,13

Gabriel,3,-6
Luc,3,-4
Maïlys,2,7
Yassine,1,17

Gabriel,3,-18
Luc,1,22
Yassine,2,6

Gabriel,1,22
Luc,2,1
Yassine,3,-17

Maïlys,1,11
Martin,4,-11
Henri,1,17
Yohan,2,0
Didier,3,-7

Gabriel,2,2
Luc,1,15
Yassine,3,-7
Henri,2,7
Julien,4,-11

Gabriel,2,4
Luc,1,18
Yassine,4,-14
Henri,3,-1

Luc,1,24
Yassine,3,-16
Henri,2,5

Gabriel,1,20
Luc,3,0
Yassine,4,0
Martin,5,-9
Nico,2,8

Gabriel,2,6
Luc,1,14
Yassine,5,-11
Martin,4,-3
Nico,3,3

Gabriel,3,-10
Luc,1,16
Yassine,2,8
Henri,3,-6

Gabriel,2,4
Luc,4,-17
Yassine,3,-2
Henri,1,26

Gabriel,1,15
Luc,4,-12
Yassine,2,8
Maïlys,3,4

Gabriel,3,4
Luc,1,11
Maïlys,2,9
Yassine,4,-2
Nico,4,-7

Gabriel,1,12
Luc,5,-15
Yassine,2,8
Martin,3,3
Nico,3,1
Romaric,4,-5

Gabriel,1,20
Luc,3,-20
Yassine,2,6

Gabriel,2,-7
Luc,1,9
Maïlys,1,16
Martin,3,-5

Gabriel,2,-7
Luc,2,-2
Maïlys,1,21
Martin,2,0

Gabriel,2,-7
Luc,2,-10
Yassine,1,28

Gabriel,3,-20
Luc,2,0
Yassine,1,28

Gabriel,3,-7
Luc,1,15
Yassine,2,13
Martin,4,-9

Gabriel,3,-8
Luc,1,12
Yassine,2,6
Martin,2,7
Thibaud,4,-10

Maïlys,1,12
Didier,3,-13
Christian,1,12
Olivier,2,-4

Gabriel,2,5
Luc,3,4
Yassine,1,16
Thibaud,5,-10
Nico,4,1

Gabriel,2,6
Luc,1,22
Yassine,3,-16

Gabriel,2,3
Luc,1,15
Thibaud,3,-1
Nico,4,-12

Romaric,1,17
Luc,1,9
Maïlys,2,4
Yassine,3,-15

Luc,1,8
Maïlys,1,16
Yassine,2,-11

Christian,1,17
Olivier,2,7
Maïlys,3,-1
Martin,4,-4
Didier,5,-11

Olivier,1,18
Maïlys,2,3
Christian,3,-2
Didier,4,-12

Luc,1,18
Gabriel,2,0
Yassine,2,1
Thibaud,3,-9

Luc,1,17
Yassine,2,4
Gabriel,3,-15

